254098018 	Mar/30/2024 17:32UTC+5.5 	oreothicc 	F - Colourblindness 	Java 21 	Accepted 	296 ms 	200 KB
254096348 	Mar/30/2024 17:20UTC+5.5 	oreothicc 	I - Following Directions 	Java 21 	Accepted 	296 ms 	500 KB
254085912 	Mar/30/2024 16:03UTC+5.5 	oreothicc 	C - Division? 	Java 21 	Accepted 	280 ms 	300 KB
254083394 	Mar/30/2024 15:46UTC+5.5 	oreothicc 	E - Marathon 	Java 21 	Accepted 	343 ms 	300 KB
254081924 	Mar/30/2024 15:36UTC+5.5 	oreothicc 	G - Medium Number 	Java 21 	Accepted 	405 ms 	800 KB
254081449 	Mar/30/2024 15:33UTC+5.5 	oreothicc 	H - Codeforces Checking 	Java 21 	Accepted 	264 ms 	0 KB
254077848 	Mar/30/2024 15:10UTC+5.5 	oreothicc 	J - Prepend and Append 	Java 21 	Accepted 	248 ms 	600 KB
254076959 	Mar/30/2024 15:05UTC+5.5 	oreothicc 	K - Plus or Minus 	Java 21 	Accepted 	249 ms 	0 KB
254076210 	Mar/30/2024 15:01UTC+5.5 	oreothicc 	L - Grab the Candies 	Java 21 	Accepted 	420 ms 	300 KB
254075311 	Mar/30/2024 14:55UTC+5.5 	oreothicc 	N - Love Story 	Java 21 	Accepted 	265 ms 	500 KB
254071145 	Mar/30/2024 14:30UTC+5.5 	oreothicc 	O - Blank Space 	Java 21 	Accepted 	436 ms 	100 KB
253892028 	Mar/29/2024 11:31UTC+5.5 	oreothicc 	C - Cover in Water 	Java 21 	Accepted 	296 ms 	0 KB
253890787 	Mar/29/2024 11:19UTC+5.5 	oreothicc 	B - Line Trip 	Java 21 	Accepted 	420 ms 	200 KB
253889866 	Mar/29/2024 11:11UTC+5.5 	oreothicc 	B - Line Trip 	Java 21 	Wrong answer on test 1 	264 ms 	0 KB
253889606 	Mar/29/2024 11:09UTC+5.5 	oreothicc 	B - Line Trip 	Java 21 	Wrong answer on test 1 	264 ms 	0 KB
253738000 	Mar/28/2024 21:00UTC+5.5 	oreothicc 	A - Stair, Peak, or Neither? 	Java 21 	Accepted 	311 ms 	100 KB
253232845 	Mar/25/2024 20:42UTC+5.5 	oreothicc 	A - Halloumi Boxes 	Java 21 	Accepted 	358 ms 	600 KB
251882080 	Mar/17/2024 12:59UTC+5.5 	oreothicc 	A - Watermelon 	Java 21 	Accepted 	498 ms 	0 KB
251879821 	Mar/17/2024 12:45UTC+5.5 	oreothicc 	A - Way Too Long Words 	Java 21 	Accepted 	311 ms 	200 KB
248309006 	Feb/26/2024 11:55UTC+5.5 	oreothicc 	A - Short Sort 	Java 21 	Accepted 	233 ms 	0 KB
248307132 	Feb/26/2024 11:34UTC+5.5 	oreothicc 	A - Medium Number 	Java 21 	Accepted 	280 ms 	500 KB
248306740 	Feb/26/2024 11:29UTC+5.5 	oreothicc 	A - Codeforces Checking 	Java 21 	Accepted 	264 ms 	0 KB
248306233 	Feb/26/2024 11:23UTC+5.5 	oreothicc 	A - Plus or Minus 	Java 21 	Accepted 	202 ms 	0 KB
248305954 	Feb/26/2024 11:19UTC+5.5 	oreothicc 	A - Love Story 	Java 21 	Accepted 	264 ms 	0 KB
248305347 	Feb/26/2024 11:11UTC+5.5 	oreothicc 	A - To My Critics 	Java 21 	Accepted 	295 ms 	300 KB
248305167 	Feb/26/2024 11:09UTC+5.5 	oreothicc 	A - Sum 	Java 21 	Accepted 	312 ms 	400 KB
